ID_Porcentajes,Copia de residential_percent_change_from_baseline,Copia de workplaces_percent_change_from_baseline,Copia de transit_stations_percent_change_from_baseline,Copia de parks_percent_change_from_baseline,Copia de grocery_and_pharmacy_percent_change_from_baseline,Copia de retail_and_recreation_percent_change_from_baseline,ErrorCode,ErrorColumn
SVSV-AH2020-08-29-0,0,-22,0,0,0,0,-1071607685,0
SVSV-AH2020-08-30-0,0,-19,0,0,0,0,-1071607685,0
SVSV-AH2020-08-31-0,0,-31,0,0,0,0,-1071607685,0
SVSV-AH2020-09-01-0,0,-31,0,0,0,0,-1071607685,0
SVSV-AH2020-09-02-0,0,-34,0,0,0,0,-1071607685,0
SVSV-AH2020-09-03-0,0,-35,0,0,0,0,-1071607685,0
SVSV-AH2020-09-04-0,0,-28,0,0,0,0,-1071607685,0
SVSV-AH2020-09-05-0,0,-22,0,0,0,0,-1071607685,0
SVSV-AH2020-09-06-0,0,-25,0,0,0,0,-1071607685,0
SVSV-AH2020-09-07-0,0,-35,0,0,0,0,-1071607685,0
SVSV-AH2020-09-08-0,0,-35,0,0,0,0,-1071607685,0
SVSV-AH2020-09-09-0,0,-34,0,0,0,0,-1071607685,0
SVSV-AH2020-09-10-0,0,-36,0,0,0,0,-1071607685,0
SVSV-AH2020-09-11-0,0,-31,0,0,0,0,-1071607685,0
SVSV-AH2020-09-12-0,0,-25,0,0,0,0,-1071607685,0
SVSV-AH2020-09-13-0,0,-24,0,0,0,0,-1071607685,0
SVSV-AH2020-09-14-0,0,-30,0,0,0,0,-1071607685,0
SVSV-AH2020-09-15-0,0,-51,0,0,0,0,-1071607685,0
SVSV-AH2020-09-16-0,0,-33,0,0,0,0,-1071607685,0
SVSV-AH2020-09-17-0,0,-36,0,0,0,0,-1071607685,0
SVSV-AH2020-09-18-0,0,-29,0,0,0,0,-1071607685,0
SVSV-AH2020-09-19-0,0,-22,0,0,0,0,-1071607685,0
SVSV-AH2020-09-20-0,0,-23,0,0,0,0,-1071607685,0
SVSV-AH2020-09-21-0,0,-34,0,0,0,0,-1071607685,0
SVSV-AH2020-09-22-0,0,-34,0,0,0,0,-1071607685,0
SVSV-AH2020-09-23-0,12,-34,0,0,0,0,-1071607685,0
SVSV-AH2020-09-24-0,13,-36,0,0,0,0,-1071607685,0
SVSV-AH2020-09-25-0,13,-32,0,0,0,0,-1071607685,0
SVSV-AH2020-09-26-0,11,-24,0,0,0,0,-1071607685,0
SVSV-AH2020-09-27-0,0,-23,0,0,0,0,-1071607685,0
SVSV-CA2020-02-15-0,0,3,0,-5,0,0,-1071607685,0
SVSV-CA2020-02-16-0,0,10,0,-2,0,0,-1071607685,0
SVSV-CA2020-02-17-0,0,5,0,-2,0,0,-1071607685,0
SVSV-CA2020-02-18-0,0,4,0,-1,0,0,-1071607685,0
SVSV-CA2020-02-19-0,0,4,0,-5,0,0,-1071607685,0
SVSV-CA2020-02-200,0,7,0,0,0,0,-1071607685,0
SVSV-CA2020-02-21-0,0,8,0,-5,0,0,-1071607685,0
SVSV-CA2020-02-220,0,4,0,0,0,0,-1071607685,0
SVSV-CA2020-02-23-0,0,5,0,-2,0,0,-1071607685,0
SVSV-CA2020-02-24-0,0,6,0,-4,0,0,-1071607685,0
SVSV-CA2020-02-250,0,5,0,0,0,0,-1071607685,0
SVSV-CA2020-02-260,0,1,0,3,0,0,-1071607685,0
SVSV-CA2020-02-27-0,0,7,0,-1,0,0,-1071607685,0
SVSV-CA2020-02-28-0,0,10,0,-3,0,0,-1071607685,0
SVSV-CA2020-02-290,0,3,0,1,0,0,-1071607685,0
SVSV-CA2020-03-010,0,8,0,1,0,0,-1071607685,0
SVSV-CA2020-03-02-0,0,7,0,-3,0,0,-1071607685,0
SVSV-CA2020-03-03-0,0,6,0,-5,0,0,-1071607685,0
SVSV-CA2020-03-04-0,0,8,0,-5,0,0,-1071607685,0
SVSV-CA2020-03-05-0,0,8,0,-1,0,0,-1071607685,0
SVSV-CA2020-03-060,0,21,0,0,0,0,-1071607685,0
SVSV-CA2020-03-07-0,0,5,0,-4,0,0,-1071607685,0
SVSV-CA2020-03-08-0,0,8,0,-3,0,0,-1071607685,0
SVSV-CA2020-03-09-0,0,8,0,-6,0,0,-1071607685,0
SVSV-CA2020-03-100,0,7,0,0,0,0,-1071607685,0
SVSV-CA2020-03-110,0,10,0,2,0,0,-1071607685,0
SVSV-CA2020-03-12-0,0,-8,0,0,0,0,-1071607685,0
SVSV-CA2020-03-13-0,0,-4,0,0,0,0,-1071607685,0
SVSV-CA2020-03-140,0,-3,0,-9,0,0,-1071607685,0
SVSV-CA2020-03-15-0,0,5,0,-2,0,0,-1071607685,0
SVSV-CA2020-03-160,0,-10,0,-6,0,0,-1071607685,0
SVSV-CA2020-03-170,0,-16,0,-9,0,0,-1071607685,0
SVSV-CA2020-03-180,0,-19,0,-9,0,0,-1071607685,0
SVSV-CA2020-03-190,0,-32,0,-16,0,0,-1071607685,0
SVSV-CA2020-03-200,0,-33,0,-25,0,0,-1071607685,0
SVSV-CA2020-03-210,0,-32,0,-31,0,0,-1071607685,0
SVSV-CA2020-03-220,0,-47,0,-52,0,0,-1071607685,0
SVSV-CA2020-03-230,0,-59,0,-46,0,0,-1071607685,0
SVSV-CA2020-03-240,0,-61,0,-49,0,0,-1071607685,0
SVSV-CA2020-03-250,0,-59,0,-46,0,0,-1071607685,0
SVSV-CA2020-03-260,0,-57,0,-49,0,0,-1071607685,0
SVSV-CA2020-03-270,0,-55,0,-44,0,0,-1071607685,0
SVSV-CA2020-03-280,0,-48,0,-48,0,0,-1071607685,0
SVSV-CA2020-03-290,0,-44,0,-50,0,0,-1071607685,0
SVSV-CA2020-03-300,0,-53,0,-39,0,0,-1071607685,0
SVSV-CA2020-03-310,0,-53,0,-41,0,0,-1071607685,0
SVSV-CA2020-04-010,0,-53,0,-40,0,0,-1071607685,0
SVSV-CA2020-04-020,0,-57,0,-41,0,0,-1071607685,0
SVSV-CA2020-04-030,0,-55,0,-42,0,0,-1071607685,0
SVSV-CA2020-04-040,0,-43,0,-45,0,0,-1071607685,0
SVSV-CA2020-04-050,0,-34,0,-49,0,0,-1071607685,0
SVSV-CA2020-04-060,0,-57,0,-41,0,0,-1071607685,0
SVSV-CA2020-04-070,0,-61,0,-44,0,0,-1071607685,0
SVSV-CA2020-04-080,0,-58,0,-42,0,0,-1071607685,0
SVSV-CA2020-04-090,0,-62,0,-43,0,0,-1071607685,0
SVSV-CA2020-04-100,0,-69,0,-56,0,0,-1071607685,0
SVSV-CA2020-04-110,0,-58,0,-57,0,0,-1071607685,0
SVSV-CA2020-04-120,0,-42,0,-54,0,0,-1071607685,0
SVSV-CA2020-04-130,0,-58,0,-46,0,0,-1071607685,0
SVSV-CA2020-04-140,0,-55,0,-45,0,0,-1071607685,0
SVSV-CA2020-04-150,0,-55,0,-44,0,0,-1071607685,0
SVSV-CA2020-04-160,0,-57,0,-45,0,0,-1071607685,0
SVSV-CA2020-04-170,0,-52,0,-45,0,0,-1071607685,0
SVSV-CA2020-04-180,0,-47,0,-50,0,0,-1071607685,0
SVSV-CA2020-04-190,0,-45,0,-56,0,0,-1071607685,0
SVSV-CA2020-04-200,0,-54,0,-45,0,0,-1071607685,0
SVSV-CA2020-04-210,0,-54,0,-47,0,0,-1071607685,0
SVSV-CA2020-04-220,0,-57,0,-48,0,0,-1071607685,0
SVSV-CA2020-04-230,0,-55,0,-50,0,0,-1071607685,0
SVSV-CA2020-04-240,0,-51,0,-48,0,0,-1071607685,0
SVSV-CA2020-04-250,0,-48,0,-53,0,0,-1071607685,0
SVSV-CA2020-04-260,0,-42,0,-56,0,0,-1071607685,0
SVSV-CA2020-04-270,0,-57,0,-47,0,0,-1071607685,0
SVSV-CA2020-04-280,0,-50,0,-47,0,0,-1071607685,0
SVSV-CA2020-04-290,0,-52,0,-44,0,0,-1071607685,0
SVSV-CA2020-04-300,0,-56,0,-45,0,0,-1071607685,0
SVSV-CA2020-05-010,0,-59,0,-49,0,0,-1071607685,0
SVSV-CA2020-05-020,0,-42,0,-46,0,0,-1071607685,0
SVSV-CA2020-05-030,0,-40,0,-56,0,0,-1071607685,0
SVSV-CA2020-05-040,0,-50,0,-45,0,0,-1071607685,0
SVSV-CA2020-05-050,0,-51,0,-41,0,0,-1071607685,0
SVSV-CA2020-05-060,0,-51,0,-43,0,0,-1071607685,0
SVSV-CA2020-05-070,0,-61,0,-53,0,0,-1071607685,0
SVSV-CA2020-05-080,0,-59,0,-55,0,0,-1071607685,0
SVSV-CA2020-05-090,0,-52,0,-54,0,0,-1071607685,0
SVSV-CA2020-05-100,0,-41,0,-51,0,0,-1071607685,0
SVSV-CA2020-05-110,0,-58,0,-46,0,0,-1071607685,0
SVSV-CA2020-05-120,0,-59,0,-48,0,0,-1071607685,0
SVSV-CA2020-05-130,0,-60,0,-50,0,0,-1071607685,0
SVSV-CA2020-05-140,0,-60,0,-48,0,0,-1071607685,0
SVSV-CA2020-05-150,0,-54,0,-51,0,0,-1071607685,0
SVSV-CA2020-05-160,0,-50,0,-54,0,0,-1071607685,0
SVSV-CA2020-05-170,0,-41,0,-59,0,0,-1071607685,0
SVSV-CA2020-05-180,0,-54,0,-48,0,0,-1071607685,0
SVSV-CA2020-05-190,0,-56,0,-43,0,0,-1071607685,0
SVSV-CA2020-05-200,0,-54,0,-44,0,0,-1071607685,0
SVSV-CA2020-05-210,0,-55,0,-48,0,0,-1071607685,0
SVSV-CA2020-05-220,0,-53,0,-48,0,0,-1071607685,0
SVSV-CA2020-05-230,0,-44,0,-57,0,0,-1071607685,0
SVSV-CA2020-05-240,0,-38,0,-57,0,0,-1071607685,0
SVSV-CA2020-05-250,0,-55,0,-47,0,0,-1071607685,0
SVSV-CA2020-05-260,0,-53,0,-46,0,0,-1071607685,0
SVSV-CA2020-05-270,0,-55,0,-41,0,0,-1071607685,0
SVSV-CA2020-05-280,0,-54,0,-43,0,0,-1071607685,0
SVSV-CA2020-05-290,0,-49,0,-47,0,0,-1071607685,0
SVSV-CA2020-05-300,0,-43,0,-58,0,0,-1071607685,0
SVSV-CA2020-05-310,0,-40,0,-63,0,0,-1071607685,0
SVSV-CA2020-06-010,0,-55,0,-53,0,0,-1071607685,0
SVSV-CA2020-06-020,0,-52,0,-48,0,0,-1071607685,0
SVSV-CA2020-06-030,0,-53,0,-45,0,0,-1071607685,0
SVSV-CA2020-06-040,0,-53,0,-45,0,0,-1071607685,0
SVSV-CA2020-06-050,0,-48,0,-48,0,0,-1071607685,0
SVSV-CA2020-06-060,0,-39,0,-51,0,0,-1071607685,0
SVSV-CA2020-06-070,0,-32,0,-50,0,0,-1071607685,0
