Copia de date,ErrorCode,ErrorColumn
15/2/2020,-1071607683,0
16/2/2020,-1071607683,0
17/2/2020,-1071607683,0
18/2/2020,-1071607683,0
19/2/2020,-1071607683,0
20/2/2020,-1071607683,0
21/2/2020,-1071607683,0
22/2/2020,-1071607683,0
23/2/2020,-1071607683,0
24/2/2020,-1071607683,0
25/2/2020,-1071607683,0
26/2/2020,-1071607683,0
27/2/2020,-1071607683,0
28/2/2020,-1071607683,0
29/2/2020,-1071607683,0
1/3/2020,-1071607683,0
2/3/2020,-1071607683,0
3/3/2020,-1071607683,0
4/3/2020,-1071607683,0
5/3/2020,-1071607683,0
6/3/2020,-1071607683,0
7/3/2020,-1071607683,0
8/3/2020,-1071607683,0
9/3/2020,-1071607683,0
10/3/2020,-1071607683,0
11/3/2020,-1071607683,0
12/3/2020,-1071607683,0
13/3/2020,-1071607683,0
14/3/2020,-1071607683,0
15/3/2020,-1071607683,0
16/3/2020,-1071607683,0
17/3/2020,-1071607683,0
18/3/2020,-1071607683,0
19/3/2020,-1071607683,0
20/3/2020,-1071607683,0
21/3/2020,-1071607683,0
22/3/2020,-1071607683,0
23/3/2020,-1071607683,0
24/3/2020,-1071607683,0
25/3/2020,-1071607683,0
26/3/2020,-1071607683,0
27/3/2020,-1071607683,0
28/3/2020,-1071607683,0
29/3/2020,-1071607683,0
30/3/2020,-1071607683,0
31/3/2020,-1071607683,0
1/4/2020,-1071607683,0
2/4/2020,-1071607683,0
3/4/2020,-1071607683,0
4/4/2020,-1071607683,0
5/4/2020,-1071607683,0
6/4/2020,-1071607683,0
7/4/2020,-1071607683,0
8/4/2020,-1071607683,0
9/4/2020,-1071607683,0
10/4/2020,-1071607683,0
11/4/2020,-1071607683,0
12/4/2020,-1071607683,0
13/4/2020,-1071607683,0
14/4/2020,-1071607683,0
15/4/2020,-1071607683,0
16/4/2020,-1071607683,0
17/4/2020,-1071607683,0
18/4/2020,-1071607683,0
19/4/2020,-1071607683,0
20/4/2020,-1071607683,0
21/4/2020,-1071607683,0
22/4/2020,-1071607683,0
23/4/2020,-1071607683,0
24/4/2020,-1071607683,0
25/4/2020,-1071607683,0
26/4/2020,-1071607683,0
27/4/2020,-1071607683,0
28/4/2020,-1071607683,0
29/4/2020,-1071607683,0
30/4/2020,-1071607683,0
1/5/2020,-1071607683,0
2/5/2020,-1071607683,0
3/5/2020,-1071607683,0
4/5/2020,-1071607683,0
5/5/2020,-1071607683,0
6/5/2020,-1071607683,0
7/5/2020,-1071607683,0
8/5/2020,-1071607683,0
9/5/2020,-1071607683,0
10/5/2020,-1071607683,0
11/5/2020,-1071607683,0
12/5/2020,-1071607683,0
13/5/2020,-1071607683,0
14/5/2020,-1071607683,0
15/5/2020,-1071607683,0
16/5/2020,-1071607683,0
17/5/2020,-1071607683,0
18/5/2020,-1071607683,0
19/5/2020,-1071607683,0
20/5/2020,-1071607683,0
21/5/2020,-1071607683,0
22/5/2020,-1071607683,0
23/5/2020,-1071607683,0
24/5/2020,-1071607683,0
25/5/2020,-1071607683,0
26/5/2020,-1071607683,0
27/5/2020,-1071607683,0
28/5/2020,-1071607683,0
29/5/2020,-1071607683,0
30/5/2020,-1071607683,0
31/5/2020,-1071607683,0
1/6/2020,-1071607683,0
2/6/2020,-1071607683,0
3/6/2020,-1071607683,0
4/6/2020,-1071607683,0
5/6/2020,-1071607683,0
6/6/2020,-1071607683,0
7/6/2020,-1071607683,0
8/6/2020,-1071607683,0
9/6/2020,-1071607683,0
10/6/2020,-1071607683,0
11/6/2020,-1071607683,0
12/6/2020,-1071607683,0
13/6/2020,-1071607683,0
14/6/2020,-1071607683,0
15/6/2020,-1071607683,0
16/6/2020,-1071607683,0
17/6/2020,-1071607683,0
